dropout (first layer),dropout (second layer),dropout (output layer),Test Accuracy,Test Precision
0.2,0.0,0.05,0.970710115842043,0.9716786072256762
0.2,0.0,0.1,0.9707318271142646,0.971703998699006
0.2,0.0,0.15000000000000002,0.9707655054377745,0.9717266256140691
0.2,0.0,0.2,0.9707985422694079,0.9717570666300277
0.2,0.05,0.0,0.9708260954027901,0.9717763046457472
0.2,0.05,0.05,0.9708603559311282,0.9718003266616291
0.2,0.05,0.1,0.9708820511995829,0.9718182338835496
0.2,0.05,0.15000000000000002,0.9709080835074506,0.9718386860242001
0.2,0.05,0.2,0.9709078825830615,0.9719460246639644
0.2,0.1,0.0,0.9709448166916427,0.9719727315497475
0.2,0.1,0.05,0.9709787888988043,0.971993982659804
0.2,0.1,0.1,0.971003033047571,0.972004632395014
0.2,0.1,0.15000000000000002,0.9709364405599114,0.9720464712900528
0.2,0.1,0.2,0.9709651159219393,0.9720686938763171
0.2,0.15000000000000002,0.0,0.9709866348335268,0.9720713217482587
0.2,0.15000000000000002,0.05,0.970910910996796,0.9719762027834544
0.2,0.15000000000000002,0.1,0.9708473824583927,0.9718909654243281
0.2,0.15000000000000002,0.15000000000000002,0.9708650188353366,0.9718974251771046
0.2,0.15000000000000002,0.2,0.9708845090389878,0.9718968417406089
0.2,0.2,0.0,0.9709185839116868,0.971940024483279
0.2,0.2,0.05,0.9709436553936889,0.9719508714199684
0.2,0.2,0.1,0.9709745977978917,0.9719704205403084
0.2,0.2,0.15000000000000002,0.9710071206854289,0.9719897536658525
0.2,0.2,0.2,0.9709628430450888,0.9719146916531236
